2016-12-02 19:29:28,325 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,425 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,484 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,526 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,592 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,634 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,676 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2012 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,764 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,818 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2014 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,863 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2002 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,902 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,984 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:29,101 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2005 [main] (ReportWordCount.java:49)
2016-12-02 19:29:29,192 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:29,301 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:29,378 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:29,459 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:29,539 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:29,606 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:29,667 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2012 [main] (ReportWordCount.java:49)
2016-12-02 19:29:29,713 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:29,763 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2349,year=2014 [main] (ReportWordCount.java:49)
